pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
East Harlem North,Central Park,2023-01-03,1.0,4.1,27.25,40.798,-73.937,40.7812,-73.9665,2023-01-03
East Harlem North,East Harlem South,2023-01-03,1.0,1.46,12.96,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Mott Haven/Port Morris,2023-01-03,1.0,3.8,22.7,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Yorkville East,2023-01-03,6.0,2.56,26.85,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Murray Hill,2023-01-03,1.0,4.77,32.49,0.0,0.0,0.0,0.0,2023-01-03
Kew Gardens,Jamaica Estates,2023-01-03,1.0,2.78,17.16,0.0,0.0,0.0,0.0,2023-01-03
Washington Heights South,Manhattan Valley,2023-01-03,1.0,4.0,26.4,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem,Union Sq,2023-01-03,1.0,4.99,42.31,40.8116,-73.9465,0.0,0.0,2023-01-03
Washington Heights South,Central Harlem North,2023-01-03,1.0,4.3,25.75,0.0,0.0,0.0,0.0,2023-01-03
Morningside Heights,Central Park,2023-01-03,1.0,2.14,22.19,40.81,-73.96,40.7812,-73.9665,2023-01-03
East Harlem North,Morningside Heights,2023-01-03,1.0,1.43,14.64,40.798,-73.937,40.81,-73.96,2023-01-03
Morningside Heights,Upper East Side North,2023-01-03,2.0,2.79,24.85,40.81,-73.96,0.0,0.0,2023-01-03
East Harlem South,East Harlem South,2023-01-03,2.0,0.65,7.92,0.0,0.0,0.0,0.0,2023-01-03
Central Park,LaGuardia Airport,2023-01-03,6.0,8.58,52.25,40.7812,-73.9665,0.0,0.0,2023-01-03
East Harlem North,LaGuardia Airport,2023-01-03,1.0,6.7,48.66,40.798,-73.937,0.0,0.0,2023-01-03
Inwood,Riverdale/North Riverdale/Fieldston,2023-01-03,1.0,2.14,17.0,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,East Harlem South,2023-01-03,1.0,2.74,18.5,40.798,-73.937,0.0,0.0,2023-01-03
Flushing,Forest Hills,2023-01-03,2.0,5.35,33.3,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Fort Greene,2023-01-03,1.0,1.68,14.6,0.0,0.0,0.0,0.0,2023-01-03
Morningside Heights,Upper East Side North,2023-01-03,1.0,2.52,24.83,40.81,-73.96,0.0,0.0,2023-01-03
Morningside Heights,Manhattanville,2023-01-03,1.0,0.92,8.7,40.81,-73.96,0.0,0.0,2023-01-03
Downtown Brooklyn/MetroTech,Park Slope,2023-01-03,1.0,1.7,15.1,0.0,0.0,0.0,0.0,2023-01-03
Forest Hills,Rego Park,2023-01-03,1.0,1.75,14.3,0.0,0.0,0.0,0.0,2023-01-03
Sheepshead Bay,Bay Ridge,2023-01-03,1.0,8.4,27.5,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Red Hook,2023-01-03,1.0,2.92,26.2,0.0,0.0,0.0,0.0,2023-01-03
Morningside Heights,Central Harlem,2023-01-03,1.0,1.24,12.62,40.81,-73.96,40.8116,-73.9465,2023-01-03
East Harlem South,Yorkville West,2023-01-03,1.0,1.5,18.75,0.0,0.0,0.0,0.0,2023-01-03
Central Park,Upper East Side North,2023-01-03,1.0,0.9,15.75,40.7812,-73.9665,0.0,0.0,2023-01-03
Hamilton Heights,Yorkville East,2023-01-03,3.0,4.77,30.0,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Upper East Side North,2023-01-03,4.0,0.63,11.45,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Upper West Side North,2023-01-03,3.0,2.08,22.98,0.0,0.0,40.787,-73.975,2023-01-03
East Harlem North,East Harlem South,2023-01-03,1.0,2.4,14.4,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Bloomingdale,2023-01-03,1.0,2.1,12.9,0.0,0.0,40.797,-73.97,2023-01-03
Central Park,Central Park,2023-01-03,1.0,0.31,8.7,40.7812,-73.9665,40.7812,-73.9665,2023-01-03
East Harlem South,East Harlem North,2023-01-03,1.0,1.31,14.04,0.0,0.0,40.798,-73.937,2023-01-03
East Harlem South,Upper East Side North,2023-01-03,1.0,0.97,15.42,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Stuy Town/Peter Cooper Village,2023-01-03,1.0,4.83,43.19,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,LaGuardia Airport,2023-01-03,4.0,6.66,45.95,40.798,-73.937,0.0,0.0,2023-01-03
Downtown Brooklyn/MetroTech,Crown Heights North,2023-01-03,1.0,2.8,20.6,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst,East Elmhurst,2023-01-03,1.0,3.25,20.52,0.0,0.0,0.0,0.0,2023-01-03
Washington Heights North,Central Harlem North,2023-01-03,1.0,4.18,19.2,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem North,Hamilton Heights,2023-01-03,1.0,1.16,11.5,0.0,0.0,0.0,0.0,2023-01-03
Kew Gardens,Kew Gardens,2023-01-03,1.0,1.11,11.28,0.0,0.0,0.0,0.0,2023-01-03
Kew Gardens,North Corona,2023-01-03,1.0,4.73,22.7,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem,Upper West Side South,2023-01-03,1.0,1.83,23.07,40.8116,-73.9465,0.0,0.0,2023-01-03
East Harlem South,Upper East Side South,2023-01-03,1.0,1.75,27.18,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Harlem North,2023-01-03,2.0,1.5,13.5,0.0,0.0,40.798,-73.937,2023-01-03
Central Park,Upper West Side South,2023-01-03,2.0,1.6,18.75,40.7812,-73.9665,0.0,0.0,2023-01-03
Central Harlem,Upper West Side North,2023-01-03,1.0,2.24,22.19,40.8116,-73.9465,40.787,-73.975,2023-01-03
East Harlem North,Parkchester,2023-01-03,1.0,7.01,31.8,40.798,-73.937,0.0,0.0,2023-01-03
Kew Gardens Hills,Briarwood/Jamaica Hills,2023-01-03,1.0,0.66,7.3,0.0,0.0,0.0,0.0,2023-01-03
Kew Gardens,Steinway,2023-01-03,1.0,9.05,38.1,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Lenox Hill East,2023-01-03,1.0,3.2,24.65,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst,Corona,2023-01-03,1.0,1.16,11.5,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem,Central Harlem,2023-01-03,1.0,0.79,8.7,40.8116,-73.9465,40.8116,-73.9465,2023-01-03
Woodside,Fresh Meadows,2023-01-03,2.0,9.9,42.3,0.0,0.0,0.0,0.0,2023-01-03
Central Park,Central Harlem,2023-01-03,6.0,1.67,13.6,40.7812,-73.9665,40.8116,-73.9465,2023-01-03
East Harlem South,East Harlem North,2023-01-03,6.0,1.1,10.44,0.0,0.0,40.798,-73.937,2023-01-03
East Harlem North,Lenox Hill East,2023-01-03,1.0,3.0,23.7,40.798,-73.937,0.0,0.0,2023-01-03
Elmhurst,LaGuardia Airport,2023-01-03,1.0,4.2,27.7,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Lincoln Square East,2023-01-03,1.0,4.12,24.05,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Lincoln Square East,2023-01-03,1.0,2.69,24.85,0.0,0.0,0.0,0.0,2023-01-03
,,2023-01-03,1.0,3.7,17.8,0.0,0.0,0.0,0.0,2023-01-03
Astoria,Long Island City/Queens Plaza,2023-01-03,1.0,0.47,5.9,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Harlem North,2023-01-03,1.0,1.71,12.9,0.0,0.0,40.798,-73.937,2023-01-03
Astoria,Astoria,2023-01-03,1.0,0.58,8.0,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Morningside Heights,2023-01-03,1.0,1.4,12.95,40.798,-73.937,40.81,-73.96,2023-01-03
Morningside Heights,East Harlem North,2023-01-03,1.0,2.8,17.1,40.81,-73.96,40.798,-73.937,2023-01-03
Elmhurst,Rego Park,2023-01-03,1.0,0.8,8.0,0.0,0.0,0.0,0.0,2023-01-03
Central Park,East Harlem South,2023-01-03,6.0,0.85,11.5,40.7812,-73.9665,0.0,0.0,2023-01-03
Park Slope,Sunset Park West,2023-01-03,2.0,1.16,10.1,0.0,0.0,0.0,0.0,2023-01-03
Central Park,Yorkville East,2023-01-03,1.0,1.77,23.82,40.7812,-73.9665,0.0,0.0,2023-01-03
East Harlem North,East Concourse/Concourse Village,2023-01-03,1.0,2.4,17.8,40.798,-73.937,0.0,0.0,2023-01-03
Astoria,Upper East Side South,2023-01-03,1.0,3.37,25.45,0.0,0.0,0.0,0.0,2023-01-03
Washington Heights South,Times Sq/Theatre District,2023-01-03,1.0,7.24,38.75,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Yorkville West,2023-01-03,2.0,1.07,17.94,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Harlem North,2023-01-03,2.0,1.23,16.6,0.0,0.0,40.798,-73.937,2023-01-03
Central Harlem,East Harlem South,2023-01-03,2.0,1.23,20.52,40.8116,-73.9465,0.0,0.0,2023-01-03
Morningside Heights,Upper West Side South,2023-01-03,1.0,2.61,25.69,40.81,-73.96,0.0,0.0,2023-01-03
East Harlem North,Upper East Side South,2023-01-03,1.0,2.7,29.15,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem North,Gramercy,2023-01-03,1.0,6.56,39.45,40.798,-73.937,0.0,0.0,2023-01-03
Morningside Heights,Manhattan Valley,2023-01-03,1.0,0.83,9.7,40.81,-73.96,0.0,0.0,2023-01-03
Central Park,Lenox Hill West,2023-01-03,1.0,2.62,33.9,40.7812,-73.9665,0.0,0.0,2023-01-03
East Harlem South,East Harlem North,2023-01-03,1.0,1.32,10.8,0.0,0.0,40.798,-73.937,2023-01-03
Central Harlem,Bloomingdale,2023-01-03,1.0,1.1,10.1,40.8116,-73.9465,40.797,-73.97,2023-01-03
East Harlem North,Clinton West,2023-01-03,1.0,5.7,31.05,40.798,-73.937,0.0,0.0,2023-01-03
Astoria,Steinway,2023-01-03,1.0,1.11,9.4,0.0,0.0,0.0,0.0,2023-01-03
Astoria,Steinway,2023-01-03,1.0,1.11,10.8,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Fort Greene,2023-01-03,1.0,0.55,10.0,0.0,0.0,0.0,0.0,2023-01-03
Jackson Heights,Jackson Heights,2023-01-03,1.0,1.52,15.0,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Fort Greene,2023-01-03,1.0,1.14,12.96,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Prospect Heights,2023-01-03,1.0,1.83,18.75,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Central Harlem,2023-01-03,1.0,0.98,10.1,0.0,0.0,40.8116,-73.9465,2023-01-03
Clinton Hill,Kips Bay,2023-01-03,1.0,8.1,46.45,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Upper East Side North,2023-01-03,1.0,2.4,18.9,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,SoHo,2023-01-03,1.0,7.5,52.38,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem North,Central Harlem North,2023-01-03,2.0,0.32,5.9,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,East Harlem South,2023-01-03,1.0,1.7,12.2,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Upper East Side North,2023-01-03,1.0,0.67,18.53,0.0,0.0,0.0,0.0,2023-01-03
Forest Hills,Forest Hills,2023-01-03,1.0,0.55,8.7,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Harlem North,2023-01-03,1.0,0.95,8.0,0.0,0.0,40.798,-73.937,2023-01-03
Morningside Heights,Washington Heights South,2023-01-03,1.0,2.57,17.1,40.81,-73.96,0.0,0.0,2023-01-03
Morningside Heights,LaGuardia Airport,2023-01-03,1.0,8.67,70.01,40.81,-73.96,0.0,0.0,2023-01-03
Forest Hills,Forest Hills,2023-01-03,2.0,3.43,28.08,0.0,0.0,0.0,0.0,2023-01-03
Astoria,Times Sq/Theatre District,2023-01-03,1.0,4.34,34.55,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Central Harlem North,2023-01-03,1.0,1.4,10.8,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem North,Upper West Side South,2023-01-03,1.0,3.6,29.7,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem North,Yorkville East,2023-01-03,1.0,2.63,20.76,40.798,-73.937,0.0,0.0,2023-01-03
Central Harlem,East Harlem North,2023-01-03,1.0,1.29,11.5,40.8116,-73.9465,40.798,-73.937,2023-01-03
Central Harlem,Central Park,2023-01-03,1.0,0.58,8.76,40.8116,-73.9465,40.7812,-73.9665,2023-01-03
Central Park,Lincoln Square East,2023-01-03,1.0,2.3,17.46,40.7812,-73.9665,0.0,0.0,2023-01-03
East Harlem South,East Harlem South,2023-01-03,2.0,1.25,14.64,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Manhattan Valley,2023-01-03,2.0,1.89,13.6,0.0,0.0,0.0,0.0,2023-01-03
Astoria,Astoria,2023-01-03,1.0,0.17,5.2,0.0,0.0,0.0,0.0,2023-01-03
Central Park,Times Sq/Theatre District,2023-01-03,1.0,3.29,30.54,40.7812,-73.9665,0.0,0.0,2023-01-03
Boerum Hill,Downtown Brooklyn/MetroTech,2023-01-03,1.0,0.88,11.5,0.0,0.0,0.0,0.0,2023-01-03
Jamaica,LaGuardia Airport,2023-01-03,1.0,6.86,45.12,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,East Harlem South,2023-01-03,1.0,1.39,13.8,40.798,-73.937,0.0,0.0,2023-01-03
Forest Hills,Forest Hills,2023-01-03,1.0,0.71,8.0,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Central Harlem,2023-01-03,1.0,0.82,8.0,40.798,-73.937,40.8116,-73.9465,2023-01-03
East Harlem North,East Harlem North,2023-01-03,1.0,0.71,8.7,40.798,-73.937,40.798,-73.937,2023-01-03
Central Harlem,Central Harlem North,2023-01-03,1.0,1.1,10.1,40.8116,-73.9465,0.0,0.0,2023-01-03
Steinway,Astoria,2023-01-03,2.0,0.56,26.0,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Manhattan Valley,2023-01-03,1.0,2.01,14.3,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem North,Upper West Side South,2023-01-03,6.0,3.25,29.7,40.798,-73.937,0.0,0.0,2023-01-03
Inwood,Washington Heights North,2023-01-03,2.0,1.2,10.1,0.0,0.0,0.0,0.0,2023-01-03
Central Park,Lincoln Square West,2023-01-03,1.0,2.81,26.73,40.7812,-73.9665,40.773,-73.984,2023-01-03
Kew Gardens,Woodhaven,2023-01-03,1.0,3.1,24.72,0.0,0.0,0.0,0.0,2023-01-03
Central Park,Upper East Side North,2023-01-03,1.0,1.6,18.55,40.7812,-73.9665,0.0,0.0,2023-01-03
East Harlem North,Central Harlem North,2023-01-03,1.0,1.27,14.95,40.798,-73.937,0.0,0.0,2023-01-03
Hamilton Heights,East Harlem North,2023-01-03,1.0,1.85,13.6,0.0,0.0,40.798,-73.937,2023-01-03
Washington Heights South,Upper West Side South,2023-01-03,1.0,4.9,25.0,0.0,0.0,0.0,0.0,2023-01-03
Washington Heights South,East Harlem North,2023-01-03,1.0,4.6,28.35,0.0,0.0,40.798,-73.937,2023-01-03
Woodside,Elmhurst,2023-01-03,1.0,1.12,12.2,0.0,0.0,0.0,0.0,2023-01-03
Woodside,LaGuardia Airport,2023-01-03,1.0,3.34,21.4,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Highbridge,2023-01-03,1.0,2.24,18.0,40.798,-73.937,0.0,0.0,2023-01-03
Downtown Brooklyn/MetroTech,Crown Heights North,2023-01-03,1.0,2.1,14.3,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Upper East Side North,2023-01-03,1.0,2.07,18.45,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Upper West Side North,2023-01-03,1.0,1.3,14.64,0.0,0.0,40.787,-73.975,2023-01-03
Central Harlem,Morningside Heights,2023-01-03,2.0,1.11,13.13,40.8116,-73.9465,40.81,-73.96,2023-01-03
East Harlem South,Manhattan Valley,2023-01-03,1.0,2.12,15.0,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst,Elmhurst/Maspeth,2023-01-03,6.0,1.18,10.8,0.0,0.0,0.0,0.0,2023-01-03
Steinway,Astoria,2023-01-03,1.0,1.81,13.6,0.0,0.0,0.0,0.0,2023-01-03
Forest Hills,Woodhaven,2023-01-03,1.0,2.12,19.2,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Harlem North,2023-01-03,1.0,1.26,10.1,0.0,0.0,40.798,-73.937,2023-01-03
East Harlem North,Upper East Side North,2023-01-03,1.0,2.21,22.02,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Yorkville West,2023-01-03,1.0,1.75,18.75,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Flatbush/Ditmas Park,2023-01-03,1.0,3.79,27.5,0.0,0.0,0.0,0.0,2023-01-03
Central Park,Clinton West,2023-01-03,1.0,4.24,30.54,40.7812,-73.9665,0.0,0.0,2023-01-03
Steinway,Flushing,2023-01-03,2.0,5.28,33.9,0.0,0.0,0.0,0.0,2023-01-03
Woodside,Middle Village,2023-01-03,1.0,2.59,17.8,0.0,0.0,0.0,0.0,2023-01-03
Brooklyn Heights,East Chelsea,2023-01-03,1.0,5.7,32.45,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst/Maspeth,LaGuardia Airport,2023-01-03,1.0,3.96,25.6,0.0,0.0,0.0,0.0,2023-01-03
Forest Hills,South Ozone Park,2023-01-03,5.0,3.02,21.3,0.0,0.0,0.0,0.0,2023-01-03
Forest Hills,Forest Hills,2023-01-03,2.0,0.72,9.4,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst,Forest Hills,2023-01-03,1.0,1.52,12.2,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Manhattan Valley,2023-01-03,1.0,2.42,21.36,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Yorkville West,2023-01-03,1.0,1.5,24.8,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Harlem North,2023-01-03,1.0,1.3,11.25,0.0,0.0,40.798,-73.937,2023-01-03
East Harlem South,Central Harlem,2023-01-03,1.0,1.5,13.5,0.0,0.0,40.8116,-73.9465,2023-01-03
East Harlem North,Central Harlem,2023-01-03,1.0,1.1,12.2,40.798,-73.937,40.8116,-73.9465,2023-01-03
Morningside Heights,Morningside Heights,2023-01-03,1.0,0.53,6.6,40.81,-73.96,40.81,-73.96,2023-01-03
Morningside Heights,Manhattan Valley,2023-01-03,1.0,0.28,7.08,40.81,-73.96,0.0,0.0,2023-01-03
Central Harlem North,Hamilton Heights,2023-01-03,1.0,0.71,8.7,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Central Park,2023-01-03,1.0,0.01,3.8,0.0,0.0,40.7812,-73.9665,2023-01-03
Morningside Heights,Lenox Hill West,2023-01-03,3.0,3.42,31.38,40.81,-73.96,0.0,0.0,2023-01-03
Central Harlem,East Harlem South,2023-01-03,1.0,1.12,10.1,40.8116,-73.9465,0.0,0.0,2023-01-03
Washington Heights South,Upper West Side North,2023-01-03,1.0,4.6,28.15,0.0,0.0,40.787,-73.975,2023-01-03
East Harlem South,East Harlem South,2023-01-03,1.0,1.07,10.8,0.0,0.0,0.0,0.0,2023-01-03
Forest Hills,Rego Park,2023-01-03,1.0,1.8,15.7,0.0,0.0,0.0,0.0,2023-01-03
Steinway,Long Island City/Hunters Point,2023-01-03,1.0,3.66,24.8,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Brooklyn Heights,2023-01-03,2.0,1.08,12.2,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst,Jackson Heights,2023-01-03,4.0,5.99,59.8,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Central Harlem,2023-01-03,6.0,1.94,16.4,0.0,0.0,40.8116,-73.9465,2023-01-03
Central Park,Upper East Side South,2023-01-03,1.0,1.87,22.14,40.7812,-73.9665,0.0,0.0,2023-01-03
Kew Gardens,Hillcrest/Pomonok,2023-01-03,1.0,1.8,12.9,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem,East Harlem North,2023-01-03,1.0,0.66,8.7,40.8116,-73.9465,40.798,-73.937,2023-01-03
East Harlem North,Central Park,2023-01-03,1.0,0.76,11.09,40.798,-73.937,40.7812,-73.9665,2023-01-03
East Harlem North,Upper East Side North,2023-01-03,1.0,2.35,25.5,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Sutton Place/Turtle Bay North,2023-01-03,1.0,3.61,32.22,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Yorkville West,2023-01-03,1.0,1.6,17.05,0.0,0.0,0.0,0.0,2023-01-03
Downtown Brooklyn/MetroTech,LaGuardia Airport,2023-01-03,1.0,10.53,66.0,0.0,0.0,0.0,0.0,2023-01-03
Morningside Heights,Lincoln Square West,2023-01-03,1.0,2.55,28.02,40.81,-73.96,40.773,-73.984,2023-01-03
Flushing,Saint Albans,2023-01-03,1.0,8.61,48.6,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem,Midtown Center,2023-01-03,1.0,3.97,38.05,40.8116,-73.9465,0.0,0.0,2023-01-03
Woodside,Elmhurst/Maspeth,2023-01-03,2.0,1.27,15.25,0.0,0.0,0.0,0.0,2023-01-03
Washington Heights South,Upper West Side North,2023-01-03,5.0,5.06,33.9,0.0,0.0,40.787,-73.975,2023-01-03
East Harlem South,Morningside Heights,2023-01-03,1.0,1.72,15.48,0.0,0.0,40.81,-73.96,2023-01-03
Forest Hills,Forest Hills,2023-01-03,1.0,0.59,7.3,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Midtown East,2023-01-03,1.0,5.11,36.42,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Upper West Side North,2023-01-03,6.0,1.32,24.0,0.0,0.0,40.787,-73.975,2023-01-03
Forest Hills,Kew Gardens,2023-01-03,1.0,1.67,12.9,0.0,0.0,0.0,0.0,2023-01-03
Rego Park,Woodhaven,2023-01-03,1.0,3.68,25.5,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Midtown Center,2023-01-03,1.0,2.44,33.95,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Harlem South,2023-01-03,1.0,0.3,5.9,0.0,0.0,0.0,0.0,2023-01-03
Sheepshead Bay,Manhattan Beach,2023-01-03,1.0,1.3,12.1,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst,Woodside,2023-01-03,1.0,1.45,15.0,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Harlem South,2023-01-03,1.0,3.11,22.05,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst,East Elmhurst,2023-01-03,1.0,2.95,15.0,0.0,0.0,0.0,0.0,2023-01-03
Astoria,Jackson Heights,2023-01-03,1.0,1.94,14.3,0.0,0.0,0.0,0.0,2023-01-03
Astoria,Woodside,2023-01-03,1.0,1.57,12.2,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,East Chelsea,2023-01-03,1.0,4.98,45.66,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,Boerum Hill,2023-01-03,6.0,11.66,63.95,0.0,0.0,0.0,0.0,2023-01-03
East Harlem South,UN/Turtle Bay South,2023-01-03,1.0,4.17,33.35,0.0,0.0,0.0,0.0,2023-01-03
Forest Hills,Hillcrest/Pomonok,2023-01-03,1.0,2.4,18.5,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Manhattanville,2023-01-03,1.0,1.49,13.6,40.798,-73.937,0.0,0.0,2023-01-03
Downtown Brooklyn/MetroTech,Garment District,2023-01-03,1.0,7.02,38.05,0.0,0.0,0.0,0.0,2023-01-03
Flushing,Downtown Brooklyn/MetroTech,2023-01-03,1.0,12.71,63.25,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Fort Greene,2023-01-03,1.0,0.59,11.5,0.0,0.0,0.0,0.0,2023-01-03
Manhattanville,Hamilton Heights,2023-01-03,1.0,0.78,8.0,0.0,0.0,0.0,0.0,2023-01-03
Elmhurst/Maspeth,Corona,2023-01-03,1.0,2.28,18.5,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Clinton Hill,2023-01-03,1.0,0.96,14.64,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Manhattan Valley,2023-01-03,1.0,2.24,18.84,40.798,-73.937,0.0,0.0,2023-01-03
Central Park,Central Park,2023-01-03,1.0,1.61,20.46,40.7812,-73.9665,40.7812,-73.9665,2023-01-03
Forest Hills,Forest Park/Highland Park,2023-01-03,1.0,3.27,21.36,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem,Lenox Hill East,2023-01-03,1.0,3.27,30.35,40.8116,-73.9465,0.0,0.0,2023-01-03
East Harlem South,Steinway,2023-01-03,1.0,5.93,38.35,0.0,0.0,0.0,0.0,2023-01-03
Downtown Brooklyn/MetroTech,East Williamsburg,2023-01-03,1.0,3.3,22.6,0.0,0.0,0.0,0.0,2023-01-03
Downtown Brooklyn/MetroTech,DUMBO/Vinegar Hill,2023-01-03,1.0,1.2,14.64,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Boerum Hill,2023-01-03,1.0,0.72,10.44,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Gowanus,2023-01-03,1.0,1.87,16.32,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Bedford,2023-01-03,1.0,1.87,16.4,0.0,0.0,0.0,0.0,2023-01-03
Forest Hills,Forest Hills,2023-01-03,1.0,1.53,12.9,0.0,0.0,0.0,0.0,2023-01-03
Fort Greene,Clinton Hill,2023-01-03,1.0,1.46,16.32,0.0,0.0,0.0,0.0,2023-01-03
East Harlem North,Morningside Heights,2023-01-03,1.0,0.86,11.1,40.798,-73.937,40.81,-73.96,2023-01-03
East Harlem North,Hamilton Heights,2023-01-03,1.0,2.56,20.1,40.798,-73.937,0.0,0.0,2023-01-03
Forest Hills,Rego Park,2023-01-03,1.0,1.66,14.3,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem North,Central Harlem North,2023-01-03,1.0,1.14,10.8,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem,Central Harlem North,2023-01-03,1.0,1.29,12.2,40.8116,-73.9465,0.0,0.0,2023-01-03
East Harlem North,Central Harlem,2023-01-03,1.0,0.95,12.62,40.798,-73.937,40.8116,-73.9465,2023-01-03
East Harlem North,Central Harlem,2023-01-03,1.0,1.07,10.8,40.798,-73.937,40.8116,-73.9465,2023-01-03
East Harlem North,Bloomingdale,2023-01-03,1.0,1.65,14.3,40.798,-73.937,40.797,-73.97,2023-01-03
East Harlem North,Clinton East,2023-01-03,1.0,4.3,33.05,40.798,-73.937,0.0,0.0,2023-01-03
East Harlem South,Central Harlem,2023-01-03,2.0,0.9,10.5,0.0,0.0,40.8116,-73.9465,2023-01-03
Central Park,Lincoln Square East,2023-01-03,1.0,2.7,30.07,40.7812,-73.9665,0.0,0.0,2023-01-03
East Harlem South,Washington Heights South,2023-01-03,1.0,4.18,27.6,0.0,0.0,0.0,0.0,2023-01-03
Downtown Brooklyn/MetroTech,Flushing Meadows-Corona Park,2023-01-03,2.0,17.58,76.0,0.0,0.0,0.0,0.0,2023-01-03
Central Harlem North,Central Harlem,2023-01-03,1.0,0.66,8.7,0.0,0.0,40.8116,-73.9465,2023-01-03
Central Harlem,Central Park,2023-01-03,1.0,0.92,10.1,40.8116,-73.9465,40.7812,-73.9665,2023-01-03
