pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
East Harlem South,East Harlem South,2023-01-21,6.0,0.39,8.4,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Yorkville East,2023-01-21,6.0,1.89,18.78,0.0,0.0,0.0,0.0,2023-01-21
Jamaica,Bellerose,2023-01-21,1.0,9.36,49.08,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Highbridge Park,2023-01-21,1.0,3.64,22.7,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem South,Murray Hill,2023-01-21,1.0,3.0,26.55,0.0,0.0,0.0,0.0,2023-01-21
Upper East Side North,Upper East Side North,2023-01-21,1.0,1.1,16.9,0.0,0.0,0.0,0.0,2023-01-21
Kew Gardens,Kew Gardens,2023-01-21,1.0,1.09,11.75,0.0,0.0,0.0,0.0,2023-01-21
Coney Island,Coney Island,2023-01-21,1.0,7.83,61.9,0.0,0.0,0.0,0.0,2023-01-21
Sunnyside,Elmhurst,2023-01-21,1.0,2.95,21.3,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Woodside,2023-01-21,1.0,2.1,17.8,0.0,0.0,0.0,0.0,2023-01-21
Flushing,Kew Gardens,2023-01-21,1.0,4.45,30.5,0.0,0.0,0.0,0.0,2023-01-21
Woodside,Astoria,2023-01-21,1.0,2.5,21.36,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Central Harlem,2023-01-21,1.0,1.1,9.4,0.0,0.0,40.8116,-73.9465,2023-01-21
Central Harlem,East Harlem North,2023-01-21,1.0,1.09,12.2,40.8116,-73.9465,40.798,-73.937,2023-01-21
Washington Heights South,Upper East Side South,2023-01-21,1.0,7.1,43.1,0.0,0.0,0.0,0.0,2023-01-21
Prospect-Lefferts Gardens,Flatbush/Ditmas Park,2023-01-21,2.0,0.9,9.4,0.0,0.0,0.0,0.0,2023-01-21
Park Slope,Crown Heights North,2023-01-21,1.0,2.1,19.65,0.0,0.0,0.0,0.0,2023-01-21
Forest Hills,Richmond Hill,2023-01-21,1.0,2.56,17.1,0.0,0.0,0.0,0.0,2023-01-21
Forest Hills,Forest Hills,2023-01-21,1.0,1.47,11.58,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Elmhurst,2023-01-21,1.0,2.72,19.9,0.0,0.0,0.0,0.0,2023-01-21
Upper East Side North,Upper East Side North,2023-01-21,1.0,1.05,13.65,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Upper West Side North,2023-01-21,1.0,2.7,24.95,40.798,-73.937,40.787,-73.975,2023-01-21
Central Harlem,Central Harlem,2023-01-21,1.0,0.4,8.7,40.8116,-73.9465,40.8116,-73.9465,2023-01-21
Central Harlem North,Central Harlem North,2023-01-21,1.0,0.7,7.3,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Central Harlem,2023-01-21,3.0,1.5,15.6,0.0,0.0,40.8116,-73.9465,2023-01-21
Elmhurst,Penn Station/Madison Sq West,2023-01-21,1.0,6.93,53.45,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem,Manhattanville,2023-01-21,1.0,0.69,8.76,40.8116,-73.9465,0.0,0.0,2023-01-21
Jamaica,Jamaica,2023-01-21,1.0,1.14,9.4,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,East Harlem North,2023-01-21,1.0,0.45,4.8,40.798,-73.937,40.798,-73.937,2023-01-21
East Harlem North,East Harlem South,2023-01-21,1.0,1.61,8.3,40.798,-73.937,0.0,0.0,2023-01-21
